CNPJ/CPF,Incentivador,ESPORTE (Valor que pode aportar/ ano),CULTURA (valores aportados 2016),
33657248000189,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,"15255215,55","61020862,2",
191,Banco do Brasil S.A,"8097772,28","32391089,1",
1027058000191,Cielo S.A.,"6940405,01","27761620,04",
280273000722,Samsung Eletrônica da Amazônia Ltda,5952595,23810380,
51990695003586,Bradesco Vida e Previdência S/A,"4620232,5",18480930,
33131541000108,Companhia Brasileira de Metalurgia e Mineração ,"4244690,23","16978760,9",
60746948000112,Banco Bradesco S/A,4225000,16900000,
1425787000104,Redecard S/A,4113500,16454000,
27833136000139,BB Corretora de Seguros e Adm. Bens S.A.,3250000,13000000,
17192451000170,BANCO ITAUCARD S.A,"3100379,89","12401519,55",
33417445000120,Minerações Brasileiras Reunidas S.A.,"3032762,5",12131050,
61557039000107,Itáu Seguros S.A,2582500,10330000,
28196889000143,Companhia de Seguros Aliança do Brasil,2499075,9996300,
92661388000190,Itaú Vida e Previdência S.A,2437500,9750000,
52568821000122,Bradesco Administradora de Consórcios Ltda.,"2269130,75",9076523,
2474103000119,Tractebel Energia S.A,2178024,8712096,
60701190000104,Banco Itaú S.A,"2165582,5",8662330,
90400888000142,Banco Santander Meridional/Patrocinio,"2099999,94","8399999,75",
3424616000188,Cia Itaú Securitizadora de Créditos Financeiros ,2092500,8370000,
33453598000123,Raizen Combustíveis S/A,"1981382,5",7925530,
27665207000131,Brasilprev  Seguros e Previdênica S/A,1960000,7840000,
34274233000102,Petrobrás Distribuidora S.A,"1886268,18","7545072,73",
43776517000180,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,1802500,7210000,
4027547003661,TELEFONICA DATA S/A,1769390,7077560,
33337122000127,Ipiranga Produtos de Petroleo S.A,"1756556,25",7026225,
811990000148,Globosat Programadora Ltda.,1650000,6600000,
33376989000191,IRB - Brasil Resseguros S/A,1564375,6257500,
3134910000155,Arosuco Aromas e Sucos S.A,1464120,5856480,
2846056000197,Conpanhia de Concessões Rodoviárias,"1394039,84","5576159,34",
1685053001390,SulAmérica Companhia de Seguro Saúde,"1390408,84","5561635,37",
34028316000103,Empresa Brasileira de Correios e Telégrafos (ECT),"1378542,47","5514169,88",
89637490000145,Klabin S.A,"1360907,17","5443628,67",
2302100000106,Bandeirante de Energia S.A.,1289000,5156000,
72820822000120,Sky Brasil Serviços Ltda.,"1233946,05","4935784,19",
2451848000162,Concessionárias do Sistema Anhanguera - Bandeirantes S/A,"1223157,16","4892628,65",
2558157000162,Telecomunicações de São Paulo S.A ,1216610,4866440,
92702067000196,Banco do Estado do Rio Grande do Sull S/A,"1207945,71","4831782,84",
33050196000188,Companhia Paulista de Força e Luz,"1177972,62","4711890,48",
382468000198,Colgate - Palmolive Comercial Ltda ,"1174453,79","4697815,15",
15138043000105,BrasilCap Capitalização S.A.,1162500,4650000,
61782769000101,BRADESPLAN PARTICIPACOES LTDA.,1130000,4520000,
23274194000119,Furnas Centrais Elétricas S.A,"1110792,3","4443169,2",
4740876000125,CBSS - Companhia Brasileira de Soluções e Serviços,"1103517,92","4414071,67",
33009911000139,Souza Cruz S.A,1090900,4363600,
15912764000120,SMILES S.A. ,"1053064,88","4212259,53",
61856571000117,Companhia de Gás de São Paulo ,1035264,4141056,
87376109000106,Santander Seguros S.A,1021750,4087000,
93015006000113,Companhia Zaffari Comércio e Indústria,"1017355,73","4069422,92",
92754738000162,Lojas Renner S.A.,1006925,4027700,
61528030000160,Tetra Pak Ltda.,1001500,4006000,
33435231000187,GE Celma Ltda,"997960,96","3991843,82",
20247380000170,Cateno Gestão de Contas e Pagamentos S/A,"948206,25",3792825,
75315333000109,"Atacadão Distribuição, Comércio e Industria Ltda","946994,63","3787978,5",
8336783000190,Celesc Distribuidora S.A.,930000,3720000,
3258983000159,Usina Termelétrica Norte Fluminense S.A,924655,3698620,
34020354000110,Caixa Seguradora S/A,"912719,08","3650876,3",
3368522000139,Oi Internet S/A,"907386,98","3629547,92",
11094546000175,Multiplus S/A,895190,3580760,
58160789000128,Banco Safra S.A.,"890267,42","3561069,66",
1417222000177,MRS Logística S.A,"880179,77","3520719,06",
76484013000145,Companhia de Saneamento do Paraná - SANEPAR,849000,3396000,
23025711000116,Cia Itaú de Capitalização,832500,3330000,
56228356000131,CRBS S.A,812500,3250000,
62180047000131,Safra Distr. de Titulos e Valores Mobiliários Ltda,"793228,75",3172915,
92693118000160,Bradesco  Saúde S.A.,"792562,5",3170250,
17298092000130,Banco Itáú BBA S.A,"755977,52","3023910,08",
30822936000169,BB- Distribuidora de Títulos e Valores Mobiliários S.A.,750000,3000000,
8357240000150,Banco Carrefour S/A,"736022,67","2944090,69",
64858525000145,Monsanto do Brasil Ltda.,"721082,39","2884329,55",
47866934000174,Ticket Serviços Com. Administração S/A,"717496,25",2869985,
47509120000182,Bradesco Leasing S.A - Arredamento Mercantil.,712500,2850000,
2998301000181,"Duke Energy International, geração Paranapanema S/A",708689,2834756,
62073200000121,MERRILL LYNCH,700000,2800000,
3304489000183,Horizontes Conteúdos LTDA.,700000,2800000,
61198164000160,Porto Seguro Cia de Seguros Gerais,"694618,98","2778475,92",
33010851000174,Bradesco Capitalização S.A.,691500,2766000,
4932216000146,Mineração Rio do Norte S/A,675100,2700400,
72372998000166,Companhia Portuária Baía de Sepetiba,666435,2665740,
33372251000156,IBM - Brasil Indústrias Máquinas e Serviços Ltda,662250,2649000,
6881898000130,Financeira Itaú CDB S.A.,"642580,41","2570321,65",
62232889000190,Banco Daycoval S.A.,636000,2544000,
92816560000137,Banco Regional de Desenvolvimento do Extremo Sul/ BRDE,"635874,85","2543499,4",
9464032000112,"Midway S/A, Crédito, Financiamento e Investimento",635000,2540000,
2415408000150,Concessionária de Rodovias do Oeste de São Paulo - Viaoeste S.A,"624498,94","2497995,77",
2685377000157,Sanofi - Aventis Farmacêutica Ltda,616750,2467000,
9358105000191,Balcão Organizado de Ativos e Derivados,612500,2450000,
61064911000177,Caterpillar Brasil Ltda,"602915,1","2411660,4",
28986000108,Elevadores Atlas Schindler S/A,600000,2400000,
60779196000196,CREFISA S/A CREDITO FINANCIAMENTO E INVESTIMENTOS,"599870,13","2399480,5",
2509491000126,Concessonária Ecovias dos Imigrantes S.A ,584750,2339000,
76801166000179,O Boticário Franchising S.A,583660,2334640,
18565382000166,Anglo G. A. C. do Sítio de Mineração S/A ,574000,2296000,
60561800000103,Novelis do Brasil Ltda.,"569530,29","2278121,16",
7206816000115,M Dias Branco S.A.- Comércio e Indústria,565150,2260600,
8902291000115,CONGONHAS MINERIOS S.A ,"559757,08","2239028,31",
45985371000108,3M do Brasil,553000,2212000,
6147451001104,Cálamo Distribuidora de Produtos de Beleza S.A,"551460,49","2205841,94",
61068276000104,Unilever do Brasil Ltda.,"537789,32","2151157,28",
17281106000103,Companhia de Saneamento de Minas Gerais - COPASA,"532922,63","2131690,5",
44734671000402,Cristalia Produtos Químicos Farmacêuticos Ltda,"528435,75",2113743,
4184779000101,Banco Bradescard S.A.,525000,2100000,
12009135000105,VALE GERACAO DE ENERGIA S.A.,522500,2090000,
61230314000175,Libs Farmaceutica Ltda,"516012,62","2064050,49",
42596973000185,SICPA Brasil Ind. Tintas e Sistemas Ltda,512500,2050000,
17170150000146,V & M do Brasil S.A,"507544,75",2030179,
2221531000130,Rodonorte Concessionária de Rodovias Integradas SA,"501911,78","2007647,12",
2681185000172,BG E&P Brasil Ltda.,500000,2000000,
60613478000119,Pinheiro Neto Advogados,498825,1995300,
7859971000130,Transmissora Aliança de Energia Elétrica S.A,498750,1995000,
1615814000101,UNILEVER BRASIL ALIMENTOS LTDA,497500,1990000,
9092789000122,Columbus Holdings S.A.,"487959,35","1951837,4",
89850341000160,Grendene S/A,"471391,75",1885567,
60659463000191,Aché Laboratórios Farmacêuticos S/A,"451175,52","1804702,09",
61585865060642,Raia Drogasil S/A,450000,1800000,
1472720000384,Motorola Industria Ltda ,447500,1790000,
33147315000115,Banco BERJ S.A.,433250,1733000,
57507378000101,EMS Industria Farmacêutica Ltda.,"432319,25",1729277,
6981176000158,Cemig Distribuição S.A,428750,1715000,
4370282000170,Copel Geração e Transmissão S.A,423250,1693000,
33061813000140,Prudential Atlântica Companhia Brasileira de Seguros S.A.,418560,1674240,
60933603000178,CESP - Companhia Energértica de São Paulo,417500,1670000,
6047087000139,Reder D'Or São Luiz S.A.,"407655,86","1630623,44",
4172213000151,Companhia Piratininga de Força e Luz,404475,1617900,
4838649000137,REXAM AMAZONIA LTDA,400000,1600000,
3816532000190,Colgate Palmolive Industrial Ltda.,400000,1600000,
61142550000130,Iharabras S/A Industrias Quimicas,400000,1600000,
3356967000107,Campos Novos Energia S.A - ENERCAN,397000,1588000,
28910529000161,Flexibrás - Tubos Flexíveis Ltda.,"396247,2","1584988,8",
6927386000168,GSMP S/A,"394960,25",1579841,
91884981000132,Banco John Deere S.A,394920,1579680,
9023931000180,Votorantim Corretora de Seguros S.A,394300,1577200,
10440482000154,Getnet Adquirência e Serviços para Meios de Pagamento S.A.,"393578,75",1574315,
8816067000100,ITAU SEGUROS DE AUTO E RESIDENCIA S.A.,"388128,25",1552513,
11973206000114,RIO ALTO GESTÃO DE CRÉDITOS E PARTICIPAÇÕES S.A.,380035,1520140,
4128563000110,COMPANHIA BRASILIANA DE ENERGIA.,379960,1519840,
71673990000177,Natura Cosméticos S.A,"376370,5",1505482,
14109664000106,Oxiteno Nordeste S.A Industria e Comercio,376250,1505000,
6047087001100,Hospital e Maternidade São Luiz S.A.,375000,1500000,
59109165000149,Banco Volkswagen S.A.,375000,1500000,
7816890000153,Multiplan Empreendimentos Imobiliários S/A,375000,1500000,
11234954000185,CMPC Celulose Riograndense Ltda,"367461,28","1469845,1",
43644285000106,Marcep Corretagem de Seguros Ltda.,362500,1450000,
43180355000112,Pernambucanas Financiadora S.A. - Crédito e Financiamento e Investimento,362500,1450000,
7359641000186,Gerdau Aços Especiais S/A,360000,1440000,
861626000192,Concessionária da Rodovia Presidente Dutra S.A,"359880,01","1439520,02",
53162095000106,Biosintética Farmacêutica Ltda,"355425,52","1421702,09",
27251842000172,Companhia Nipo-Brasileira de Pelotização - Nibrasco,"354841,75",1419367,
10625931000139,Booking.com Brasil Serviços de Reserva de Hotéis Ltda.,351851,1407404,
34075739000184,Sociedade de Ensino Superior Estácio de Sá Ltda.,351700,1406800,
4591168000170,Foz do Pacheco Energia S.A,349500,1398000,
6981180000116,Cemig Distribuição S.A,348618,1394472,
7707650000110,"Aymoré Crédito, Financiamento e Investimento S.A.",345000,1380000,
34270520000136,IBM Leasing Arrendamento Mercantil S.A.,343250,1373000,
54516661000101,Johnson & Johnson Produtos Profissionais Ltda,"342612,5",1370450,
51990778000126,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda,"340154,25",1360617,
12264857000106,Mapfre BB SH2 Participações S/A,339625,1358500,
79379491000183,Havan Lojas de Departamentos Ltda,336750,1347000,
51990695000137,Bradesco Vida e Previdência S/A,333500,1334000,
61855045000132,Bradesco S.A. - Corretora de Títulos. e Valores Mobil.,"330124,92","1320499,66",
